prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
08_java_small,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,840,1447,0.000144,0.000653,0.002579,99.7,0.000097,0.000411,0.001828,99.7
09_python_medium,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,2474,2048,0.000239,0.001050,0.003419,99.6,0.000144,0.000543,0.002025,99.8
10_go_medium,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,2135,2048,0.000261,0.001133,0.003647,99.7,0.000138,0.000613,0.001936,99.9
11_typescript_medium,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,2435,2048,0.000303,0.001376,0.003926,99.7,0.000118,0.000534,0.001750,99.9
12_rust_medium,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,2183,2048,0.000193,0.000943,0.002785,99.6,0.000112,0.000515,0.001773,99.7
13_python_large,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,8959,2048,0.000202,0.001060,0.002898,99.7,0.000098,0.000521,0.001272,99.7
14_go_large,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,8840,2048,0.000248,0.001137,0.003192,99.8,0.000144,0.000670,0.002123,99.8
15_cpp_medium,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,3958,2048,0.000289,0.001190,0.003736,99.6,0.000105,0.000505,0.001509,99.7
16_java_medium,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,2400,2048,0.000223,0.000973,0.002980,99.6,0.000106,0.000490,0.001505,99.7
17_rust_large,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,9803,2048,0.000280,0.001175,0.003426,99.8,0.000110,0.000484,0.001713,99.9
18_typescript_large,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,10613,2048,0.000298,0.001097,0.004538,99.4,0.000115,0.000396,0.001580,99.6
19_cpp_large,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,10737,2048,0.000262,0.001243,0.003845,99.3,0.000130,0.000604,0.001890,99.5
