prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
13_python_large,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,8959,2048,0.001867,0.010525,0.026334,98.3,0.001133,0.005600,0.017608,99.0
14_go_large,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,8840,2048,0.001895,0.008199,0.024995,99.1,0.001181,0.005422,0.015843,99.2
15_cpp_medium,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,3958,2048,0.002290,0.010513,0.030541,98.6,0.001416,0.005609,0.020847,99.0
16_java_medium,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,2400,2048,0.001030,0.005271,0.011867,98.9,0.000774,0.003877,0.009824,99.2
17_rust_large,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,9803,2048,0.002160,0.009437,0.024482,98.4,0.001321,0.005629,0.017016,98.9
18_typescript_large,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,10613,2048,0.001301,0.006969,0.019038,99.0,0.000783,0.003872,0.010233,99.2
19_cpp_large,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,10737,2048,0.001974,0.009411,0.024024,98.7,0.001141,0.005248,0.014623,99.2
01_python_small,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,337,2048,0.000786,0.003609,0.011668,99.1,0.000720,0.003287,0.012111,99.3
02_rust_small,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,540,2048,0.000907,0.004286,0.016079,99.0,0.000641,0.003170,0.010189,99.2
03_go_small,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,396,2048,0.000649,0.003113,0.009343,99.4,0.000603,0.002619,0.009647,99.5
04_cpp_small,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,823,2026,0.000817,0.004686,0.013400,99.4,0.000770,0.003973,0.014337,99.5
05_js_small,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,555,2048,0.001443,0.007174,0.020956,99.3,0.001061,0.005211,0.018144,99.2
06_python2_small,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,582,1767,0.001156,0.005311,0.017944,99.4,0.000652,0.003055,0.010047,99.6
07_c_small,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,751,2048,0.001751,0.004832,0.015390,99.4,0.000844,0.003404,0.012838,99.3
08_java_small,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,840,1552,0.000677,0.003377,0.011816,99.1,0.000540,0.002680,0.008621,99.3
09_python_medium,gemma4-26b-a4b-bf16,ud-q8_k_xl,50505130944,27866180608,2474,2048,0.001108,0.005595,0.015117,99.3,0.000710,0.003140,0.010380,99.6
